names,info,imgs
Gintoki Sakata,"Age: late 20s
Birthday: October 10 (Libra)
Height: 177 cm
Weight: 65 kg
Likes: sweets, alcohol, Shounen Jump, strawberry milk, pachinko
Dislikes: ghosts, horror stuff
Favorite quote: 
Occupation: Yorozuya/Odd Jobs",https://cdn.myanimelist.net/images/characters/15/241479.jpg
Kurisu Makise,"Age: 18
Birthdate: July 25 (Leo)
Blood type: A
Height: 160 cm
Weight: 45 kg",https://cdn.myanimelist.net/images/characters/10/114399.jpg
Guts,"Eyes: brown
Hair: black",https://cdn.myanimelist.net/images/characters/9/347984.jpg
Itachi Uchiha,"Age: 17-18 (I); 21 (II)
Birthday: June 9th (Gemini)
Height: 175 cm (I); 178 cm (II)
Weight: 57 kg (I); 58 kg (II)
Blood Type: AB
Nature Type: Fire and Water
From: Konohagakure (Leaf)
Rank: S-class Missing-Nin
Registered Ninja #: 012110
Affiliation: Akatsuki
Ring: Shu (Red)
Finger Position: Right Ring
Partner: Hoshigaki Kisame
Favorite Foods: Rice balls (kelp), cabbage, Dango
Least Favorite Foods: Steak
Hobby: Visiting traditional Japanese cafés
First Manga Appearance: Ch. 139
First Anime Appearance: Ep. 80
Assignments Completed: 53 D-Rank, 152 C-Rank, 134 B-Rank, 0 A-Rank, 1 S-Rank
Famous Quote: ",https://cdn.myanimelist.net/images/characters/9/284122.jpg
Mikasa Ackerman,"Age: 19
Birthdate: February 10
Height: 170 cm (5'7"")
Weight: 68 kg (150 lbs)
Position: 104th Trainees Squad, Scouting Legion
Graduation rank: 1st",https://cdn.myanimelist.net/images/characters/9/215563.jpg
Eren Yeager,Age: 15,https://cdn.myanimelist.net/images/characters/10/216895.jpg
Hachiman Hikigaya,"Age: 17
Date of Birth: August 8
Hair Color: Black
Eye Color: Grey
Blood type: A
Occupation: high school student, member of Service Club
Affiliation: Sobu High School",https://cdn.myanimelist.net/images/characters/4/203555.jpg
Ken Kaneki,"Age: 18 (Pre-Aogiri), 19 (Post-Aogiri), ",https://cdn.myanimelist.net/images/characters/9/251339.jpg
Rem,"Age: 17
Birthday: February 2
Height: 154 cm (5'0)",https://cdn.myanimelist.net/images/characters/9/311327.jpg
Saitama,"Race: Human
Age: 25
Height: 175 cm (5'9"")
Weight: 70 kg (154 lbs)
Location: Z-City
Abilities: Immeasurable Strength, Immeasurable Speed and Reflexes, Infinite Stamina, Supernatural Senses, Invulnerability, Indomitable Will
Occupation: Superhero
Level:",https://cdn.myanimelist.net/images/characters/11/294388.jpg
Kakashi Hatake,"Age: 26-27 (Part I); 29-31 (Part II)
Birthday: September 15
Horoscope: Virgo
Blood Type: O
Height: 5""11""
Weight: 67.5 kg 
Hair: Silver
Eyes: Grey, Sharingan
Rank: Jonin, Former ANBU",https://cdn.myanimelist.net/images/characters/7/284129.jpg
Spike Spiegel,"Birthdate: June 26, 2044
Height: 185 cm (6' 1"")
Weight: 70 kg (155 lbs)
Blood type: O
Planet of Origin: Mars",https://cdn.myanimelist.net/images/characters/4/50197.jpg
Kazuto Kirigaya,"Birthday: October 7, 2008
Age: 14 (Beginning of Aincrad arc), 16 (End of Aincrad arc, Fairy Dance arc), 17 (Phantom Bullet arc) 18 (Mother's Rosario) 18 (Alicilization)
Height: 172 cm
Weight: 59 kg
Weapon(s) of choice: Anneal Blade (1st Level), Queen's Knightblade (9th Level), Elucidator (50th level), Dark Repulser (forged by Lisbeth), and Holy Sword Excalibur (obtained from the ""Calibur Quest"").",https://cdn.myanimelist.net/images/characters/7/204821.jpg
Hitagi Senjougahara,"Birthday: July 7
Height: 165 cm
Weight: Unknown ",https://cdn.myanimelist.net/images/characters/11/287902.jpg
Yato,"""Gods can do anything they want. Including hurting someone... Or taking their lives.""",https://cdn.myanimelist.net/images/characters/3/328158.jpg
Megumin,Age: 13–14,https://cdn.myanimelist.net/images/characters/14/349249.jpg
Satoru Gojou,"Age: 28
Birthday: December 7, 1989
Height: 190 cm (6' 3"")
Clan: Gojou Clan
Hair: White
Eyes: Light Blue
Grade: Special Grade
Abilities
Immense Strength, Immense Speed & Reflexes, Tactical Intellect, High Skill, Immense Cursed Energy, Infinity, Cursed Technique Lapse: Blue, Cursed Technique Reversal: Red, Hollow Purple, Six Eyes, Limitless, Domain Expansion: Unlimited Void. ",https://cdn.myanimelist.net/images/characters/15/422168.jpg
Joseph Joestar,"Birthdate: September 27, 1920
Height: 195 cm",https://cdn.myanimelist.net/images/characters/6/252863.jpg
Roy Mustang,"Birthday: 1885 (Age 30 from vol. 10)
Height: 5'8"" (173 cm)",https://cdn.myanimelist.net/images/characters/7/72983.jpg
Zero Two,"Gender: Female
Age: Unknown
Birthday: Unknown
Height: 170cm (5'7"") 
Code: 002
Classification: Parasite
Affiliation: Thirteenth Plantation, 9's 
Occupation: Pistil
Partner: Hiro, 081 , Mitsuru 
FRANXX: Strelizia",https://cdn.myanimelist.net/images/characters/10/352557.jpg
Hisoka Morow,"Birthday: June 6
Horoscope: Gemini
Age: 28
Height: 187 cm
Weight: 91 kg
Hair color: 1999 anime - blue (Hunter Exam arc), red (Heavens Arena arc); red (2011)
Eye color: blue (1999), yellow (2011)
Blood type: B
Occupation: Hunter, ",https://cdn.myanimelist.net/images/characters/3/174561.jpg
Mai Sakurajima,"Gender: Female
Age: 17-18
Birthday: December 2 (Sagittarius)
Height: 5'4"" (165 cm)
Occupation: Student, Actress, Model
Affiliation: Minegahara High School, ",https://cdn.myanimelist.net/images/characters/2/366639.jpg
Shinobu Oshino,"Shinobu is a girl who lives with Meme in an abandoned building. She loves donuts from ""Mister Donut."" She was named Shinobu by Meme at the beginning of Hitagi Crab, suggesting her kanji name Shinobu (忍), having ""heart"" (心) under ""blade"" (刃), matches with her original personality.",https://cdn.myanimelist.net/images/characters/16/234167.jpg
Kamina,"Age: 18
Height: 184 cm
Weight: 74 kg",https://cdn.myanimelist.net/images/characters/7/83946.jpg
Taiga Aisaka,"Age: 17-18
Blood type: O
Height: 144.5 cm (4'9"")
Weight: 34 kg
School: Ohashi High School
Class: 2-C
Occupation: Student
Favorite food: Pork cutlet (tonkatsu)
Likes: Christmas, Santa Claus
Dislikes: She hates her figure as it appears in a swimsuit.
Famous Quote: ""Having someone saying you're okay as you are being needed by that person. It was nice to have someone like that.""",https://cdn.myanimelist.net/images/characters/10/46644.jpg
Saber,"Height: 154 cm
Weight: 42 kg
Three sizes: B73-W53-H76
Blood type: O
Armaments: armor, sword
Likes: well-structured meals, stuffed animals
Dislikes: badly structured meals, dressing up too much
Talents: gymnastic exercise, secretly good in all kinds of gambling
Famous quote: """"",https://cdn.myanimelist.net/images/characters/6/275276.jpg
Yuno Gasai,"Age: 14-15
Birthday: 16 November
Height: 159 cm (5'2"")
Weight: 49 kg
BWH: 74-50-73
Affiliation: Future Diary, Yukiteru Amano
Occupation: Future Diary Owner, Junior High School Student
Diary number: 2
Diary type: Yukiteru Diary
Likes: Yukiteru Amano
Famous quote: ",https://cdn.myanimelist.net/images/characters/5/280576.jpg
Osamu Dazai,"Age: 22
Birthday: June 19
Height: 181 cm
Weight: 67 kg
Blood type: AB
Likes: Suicide, sake, women, crabs, Ajinomoto (a Japanese brand of seasoning)
Dislikes: Dogs 
Ability: No Longer Human; the ability to nullify other abilities through touch.",https://cdn.myanimelist.net/images/characters/5/307236.jpg
Eikichi Onizuka,"Birthday: August 3, 1975",https://cdn.myanimelist.net/images/characters/8/241475.jpg
Asuna Yuuki,"Birthdate: September 30, 2007
Age: 15 (Beginning of Aincrad arc); 17 (End of Aincrad arc, Fairy Dance arc); 18 (Phantom Bullet arc, Alicization Arc)
Height: 168 cm
Weight: 55 kg
Three Sizes: 82-60-83
Weapons of choice: Wind Fleuret (1st Floor), Lambent Light (Forged by Lisbeth)",https://cdn.myanimelist.net/images/characters/15/262053.jpg
Koyomi Araragi,"Age: 18
Height: 165 cm
Weight: 55 kg",https://cdn.myanimelist.net/images/characters/3/148437.jpg
Holo,"Age: Unknown
Height: 160 cm
Weight: 43 kg",https://cdn.myanimelist.net/images/characters/15/319492.jpg
Violet Evergarden,"Age: 14 (Series), 17-18 (Movie Gaiden), 18 (Movie)
Hair color: Blonde
Eye color: Blue",https://cdn.myanimelist.net/images/characters/9/345616.jpg
Alucard,"Age: about 581 years
Birthday: November 1431
Gender: male (can change to female)
Race: True Vampire
Height: 193 cm
Weight: 83.9 kg
Other aliases: Ultimate Vampire, Bird of Hermes, Vlad Dracula III, Vlad Tepes, No-Life King, Count, Dracula, Vlad the Impaler, The Count, Zamiel, Arucard, Monster, King of Vampires, Abyss General, The Impaling Prince, True immortal, Hellsing's trump card, Night Walker
Abilities: ",https://cdn.myanimelist.net/images/characters/15/74607.jpg
Arataka Reigen,Reigen is a self-proclaimed psychic who exorcises evil spirits and leads a spirit council. He is also Mob's mentor and boss.,https://cdn.myanimelist.net/images/characters/16/308364.jpg
Sasuke Uchiha,"Age: 12-13 (I); 16-17 (II); 19 (The Last: Naruto the Movie); 32 (Boruto: Naruto the Movie)
Birthday: July 23
Ninja Registration No: 012606
Horoscope: Leo
Blood type: AB
Height: 153.2 cm(I); 168 cm (II); 175 cm (The Last: Naruto the Movie); 182 cm (Boruto: Naruto the Movie)
Weight: 43.5kg(I); 52.2kg (II); 55kg (The Last: Naruto the Movie); 65kg (Boruto: Naruto the Movie)
Hair: Ebony Black with Blue tints
Eyes: Black; Right eye Red (when using Sharingan) & Left eye Purple (when using Rinnengan)
Rank: Genin; ",https://cdn.myanimelist.net/images/characters/9/131317.jpg
Shouto Todoroki,"Age: 15
Birthday: January 11
Blood Type: O
Height: 176 cm (5'9"")
Affiliation: U.A.
Quirk: Half-Cold Half-Hot",https://cdn.myanimelist.net/images/characters/3/299595.jpg
Ichigo Kurosaki,"Race: Human, Shinigami, ",https://cdn.myanimelist.net/images/characters/3/89190.jpg
Izuku Midoriya,"Age: 14-16
Birthday: July 15
Blood type: O
Height: 166 cm (5'5"")
Affiliation: U.A.
Quirk: One For All",https://cdn.myanimelist.net/images/characters/7/299404.jpg
Emilia,"Birthday: September 23
Height: 164 cm (5'5"")",https://cdn.myanimelist.net/images/characters/10/268173.jpg
Izaya Orihara,"Age: 23→25 (as of volume 9)
Birthday: May 4
Height: 175 cm
Weight: 58 kg
Blood type: O
Job: Information broker
Weapon: Switchblade pocket knife
Hobby: Human observation
Likes: Humans
Dislikes: Shizuo Heiwajima
Favorite quote: ""It is absurd to divide people into good and bad. People are either charming or tedious."" —Oscar Wilde, Lady Windermere's Fan
Internet names: Nakura (to fool girls), ",https://cdn.myanimelist.net/images/characters/12/313152.jpg
CC,"Age: 16 (biologically)
Blood Type: Unknown
Height: 168 cm (5'6"")
Occupacion: Slave , Terrorist, Leader of the Geass Order , Right-hand woman of Lelouch, Knightmare Pilot 
Allegiance: Order of the Black Knights
Position: Second-in-command of the Black Knights
Knightmare: Burai, Gawain (Co-pilot), Akatsuki Command Model, Lancelot Frontier",https://cdn.myanimelist.net/images/characters/13/33815.jpg
Sanji,"Age: 19→21
Birthdate: March 2
Zodiac: Pisces
Height: 177 cm (5' 9"") → 180 cm (5'11"")
Blood type: RH-
Affiliation: Straw Hat Pirates (previously; Baratie)
Position: Cook
Devil Fruit: none
Bounty:",https://cdn.myanimelist.net/images/characters/5/136769.jpg
Kaori Miyazono,"Age: 14-15
Birthday: July 4",https://cdn.myanimelist.net/images/characters/14/269375.jpg
Gokuu Son,"Race: Saiyan
Height: 5'9"" (175,3 cm)
Weight: 145 lbs (65,8 kg)
Birth year: 737 Age
Hobby: Fighting strong opponents
Favorite food: Everything
Favorite vehicle: Kintoun (Nimbus)",https://cdn.myanimelist.net/images/characters/15/72546.jpg
Asuka Langley Souryuu,"Age: 14 , ",https://cdn.myanimelist.net/images/characters/12/79465.jpg
Rin Toosaka,"Birthday: February 3
Classification: Human, Mage
Height: 159 cm (), 124 cm ()
Weight: 47 kg (), 29 kg ()
Three sizes: B77-W57-H80 ()
Blood type: O
Servant: Archer
Likes: praise of her father, polishing jewelry, messing around with Shirou
Dislikes: electronics
Affiliation: Homurahara Academy, Year 2 class A
Famous quote: """"",https://cdn.myanimelist.net/images/characters/2/270529.jpg
Houtarou Oreki,"Age: 15-16
Birthday: April 28
Height: 176 cm
Weight: 62 kg
Hair color: brown
Eye color: green
Relatives: Oreki Tomoe (sister) 
Personality: Quiet, laid-back, lazy 
Motto: ""If I don't have to do it, I won't. If I have to do it, I'll make it quick.""",https://cdn.myanimelist.net/images/characters/15/308148.jpg
Natsu Dragneel,"Occupation: Mage
Affiliation: Fairy Tail Guild
Team: Team Natsu
Known relatives: Igneel (Foster Father) ",https://cdn.myanimelist.net/images/characters/10/365282.jpg
Sebastian Michaelis,"Race: Demon
Height: 185 cm (6'1"")
Affiliation: Faustian Contract
Occupation: Butler of the Phantomhive Household
Previous occupations: Second-String Member of the Noah's Ark Circus and Dormitory Warden of Sapphire Owl at Weston College",https://cdn.myanimelist.net/images/characters/6/44160.jpg
Homura Akemi,"Age: 14-15
Blood type: B
Height: 155-159 cm
Affiliation: Mitakihara middle school
Species: Human, Magical girl ",https://cdn.myanimelist.net/images/characters/6/219771.jpg
Katsuki Bakugou,"Age: 14-17
Birthday: April 20
Height: 172 cm (5'7"")
Affiliation: U.A.
Quirk: Explosion",https://cdn.myanimelist.net/images/characters/12/299406.jpg
Yukino Yukinoshita,"Birthday: January 3
Blood type: B",https://cdn.myanimelist.net/images/characters/4/202721.jpg
Erwin Smith,"Birthday: October 14
Height: 188 cm (6' 2"")
Weight: 92 kg (203 lbs)
Affiliation: Scouting Legion",https://cdn.myanimelist.net/images/characters/3/206431.jpg
Joutarou Kuujou,"Joutarou is a fictional character from the Japanese manga JoJo's Bizarre Adventure, and the protagonist of Series 3. He has a recognizable attire of trenchcoat-length school uniform jacket with yellow chains on the collar.",https://cdn.myanimelist.net/images/characters/9/312302.jpg
Tanjirou Kamado,"Age: 13 (at the start of the manga); 15 (after completing training with Sabito and Makomo)
Height: 165cm (5'4"")
Hair color: burgundy
Eye color: dark red",https://cdn.myanimelist.net/images/characters/13/409573.jpg
Kurapika,"Gender: Male
Age: 17 (beginning); 19 (current)
Height: 171 cm
Weight: 59 kg
Birthday: April 4
Zodiac: Aries
Hair color: blonde
Eye color: blue (1999); brown (manga & 2011); scarlet (when angered)
Blood type: AB
Nen type: Conjuration; Specialization (when his eyes are Scarlet)
Abilities: Holy Chain, Dowsing Chain, Chain Jail, Judgment Chain",https://cdn.myanimelist.net/images/characters/4/174563.jpg
Revy,"Revy (レヴィ), sometimes referred by her full name Rebecca (レヴェッカ), is the female protagonist of the series. She does most of the fighting for the Lagoon Company. Very little is revealed about her past, although portions can be pieced together through the series. Revy is a Chinese-American born and raised in Chinatown, Manhattan, near Mott Street, spending most of her youth as a thief and murderer. Flashbacks throughout the series reveal that Revy may have honed her skills with firearms by shooting at cans, and that her first murder may have involved shooting an unknown man while using a pillow. It is unknown whether the pillow was used to suppress the noise or to help avoid looking at her first victim.",https://cdn.myanimelist.net/images/characters/10/78871.jpg
Gon Freecss,"Age: 12 (beginning), 14-15 (current)
Birthday: May 5
Height: 154 cm
Weight: 49 kg
Eye Color: Brown
Blood type: B
Occupation: Hunter
Nen type: Enhancement
Abilities: ",https://cdn.myanimelist.net/images/characters/11/174517.jpg
Takumi Usui,"Age: 17
Class: 2-2
Birthdate: April 27
Height: 186 cm
Weight: Forgot
Blood type: O
School: Seika High School
Special skill: Everything he does
Favorite thing: Observing Misaki work
Favorite food: Porridge, Misa-chan's omelet rice and anything else she makes
Favorite word: Ayuzawa Misaki",https://cdn.myanimelist.net/images/characters/9/282968.jpg
Kazuma Satou,Age: 17 ,https://cdn.myanimelist.net/images/characters/11/303921.jpg
Rikka Takanashi,"Birthday: June 12
Zodiac sign: Gemini",https://cdn.myanimelist.net/images/characters/2/257273.jpg
Koro-sensei,Koro-sensei is a teacher for class 3-E of Kunugigaoka Junior High School and the main antihero of Ansatsu Kyoushitsu. He was responsible for carving out a large chunk of the moon to become a permanent crescent moon and plans to destroy the earth after teaching class 3-E for a year.,https://cdn.myanimelist.net/images/characters/9/277325.jpg
Shigeo Kageyama,"Age: 14
Birthday: May 12
Zodiac: Taurus",https://cdn.myanimelist.net/images/characters/6/343344.jpg
Kusuo Saiki,"Age: 16-17
Birthday: August 16
Height: 167 cm (may vary)
Weight: 52 kg (may vary)
Occupation: Student
School: PK Academy
Year/Course: 2nd year",https://cdn.myanimelist.net/images/characters/12/337932.jpg
Erza Scarlet,"Age: 19
Hair: Scarlet
Eyes: Brown 
Magic and Abilities: Requip (also known as Ex-quip is a Caster Magic and a type of Spatial Magic related to the summoning of various types of equipment.)",https://cdn.myanimelist.net/images/characters/12/365289.jpg
Chika Fujiwara,"The secretary of the Shuchiin Academy student council. She's been friends with Shinomiya since middle school. She's ditzy and likes to gossip, and often throws a wrench in Shinomiya and Shirogane's plans due to her unpredictability. Even so, she's quite a bit more well-adjusted than her fellow student council members and sometimes takes it upon herself to teach them how to overcome their shortcomings.",https://cdn.myanimelist.net/images/characters/2/371542.jpg
Miku Nakano,"Age: 17-18
Birthday: May 5
Height: 164cm
Weight: 49 kg
Blood type: A",https://cdn.myanimelist.net/images/characters/11/366718.jpg
Kaguya Shinomiya,"The vice president of the student council of Shuchiin Academy, member of the Shinomiya Zaibatsu and the daughter of the Shinomiya group, she is a multi-talented genius who can do anything if she sets her mind to it. Due to the way she was raised in the Shinomiya Family, she instinctively looks down on other people and thinks of ways to use them for her own benefit. Kaguya rarely interacted with other people before she joined the student council, but that has begun to change. She is an incredibly sheltered girl, resulting in her lacking in several pieces of what might be considered common sense. She still doesn't understand love very well, and her main objective is to make Miyuki Shirogane fall in love and confess to her.",https://cdn.myanimelist.net/images/characters/9/371540.jpg
Kiyotaka Ayanokouji,"Birthday: October 20
Height: 176 cm
Zodiac sign: Libra
Favorite place: None
Dislikes: Acting according to the textbook
Usual place: His room",https://cdn.myanimelist.net/images/characters/16/342614.jpg
Askeladd,"A cunning, mysterious Viking who commands a mercenary band of vikings, of which Thorfinn is a member.",https://cdn.myanimelist.net/images/characters/14/401940.jpg
Armin Arlert,"Age: 15
Birthday: November 3
Height: 163 cm (5'4"")
Weight: 55 kg (121 lbs)
Position: 104th Trainees Squad, Scouting Legion
Graduation Rank: Outside the top 10",https://cdn.myanimelist.net/images/characters/8/220267.jpg
Senkuu,"Birthday: January 4, 2004
Height: 171 cm (188cm considering his hair)
Weight: 61 kg
Hair Color:  White with Dark Green Tips
Eye Color: Red
Blood Type: AB",https://cdn.myanimelist.net/images/characters/8/380950.jpg
Rias Gremory,"Birthday: April 9th
Height: 172 cm (5'8"")
BWH: 99/58/90
Rank: Top-class Devil
Role: King
Race: Pure-Blooded Devil
Power: Princess of Destruction
First Appearance: Volume 1",https://cdn.myanimelist.net/images/characters/5/150011.jpg
Kurumi Tokisaki,"Height: 157 cm (5'2"")
Code name: Nightmare
Spirit number: 3
Species: Spirit
Angel: Zafkiel
Weapon: Clock type
Astral Dress: Elohim
Affiliation: Raizen High School (temporary)
Hobbies: Killing people, teasing Shidou
Likes: Weaponry, sweets, kitties
Dislikes: Humans, AST 
Strength: 109
Consistency: 80
Spiritual power: 220
Agility: 103
Intelligence: 201
Rank: S-Class Spirit
Famous quote: ",https://cdn.myanimelist.net/images/characters/8/310255.jpg
Shizuo Heiwajima,"Name meaning: Quiet Hero of the Peaceful Island (kanji reading: ""peaceful island"" and ""serene man"" respectively)
Birthday: January 28 (Aquarius)
Age: 24 (Anime & Manga) 25 (Novel)
Family: Kichirou Heiwajima (father), Namiko Heiwajima (mother), Kasuka Heiwajima (younger brother)
Height: 185 cm (6' 1"")
Weight: 70 kg (154 lbs)
Hair color: brown when he was a kid. [current: golden yellow (blonde)]
Eye color: brown
Gang: Former member of Dollars.
Title: Strongest man in Ikebukuro.
Blood type: O
Hobby: basking in the sun
Occupation: bodyguard, Bartender (former)
Likes: running, books, relaxing, dairy products.
Dislikes: Izaya Orihara, violence, gambling
Favorite foods: milk, dairy products, desserts (sweet things in general)
Disliked foods: anything that's bitter, beer (his preferences are like a kid's, as far as taste is concerned)
Favorite quote: ""I hate violence.""",https://cdn.myanimelist.net/images/characters/5/110552.jpg
Hei,"Race: Human, Contractor
Messier Code: BK-201
Ability: Electrical Manipulation
Birthplace: China
Former Affiliation: The Syndicate, EPR, CIA
Team (Chronologically): Pai, Amber, Havoc -- Yin, Huang, Mao -- July, Suou Pavlichenko",https://cdn.myanimelist.net/images/characters/8/78781.jpg
Souma Yukihira,"Age: 15-16
Birthday: November 6
Height: 171 cm
Weight: 57 kg
Blood type: B
Cuisine Style: Yukihira Style Recipes 
Food Forte: All
Generation: 92nd
Affiliation: Tootsuki Culinary Academy, ",https://cdn.myanimelist.net/images/characters/8/277503.jpg
Mikoto Misaka,"Age: 13–14
Height: 161 cm
Birthday: May 2
Hair color: light brown
Eye color: light brown
Classification: Esper
School: Tokiwadai Middle School
Level: 5
Ability: Railgun (level 5 version of the Electromaster ability)
Known Relatives: Misaka Misuzu (Mother), Misaka Tabigake (Father) ",https://cdn.myanimelist.net/images/characters/5/378966.jpg
Mashiro Shiina,"Age: 17 (beginning), 18 (light novel volume 8), 22 (light novel volume 10), 24 (light novel volume 10.5)
Birthday: June 13
Zodiac sign: Gemini
Blood type: A",https://cdn.myanimelist.net/images/characters/5/183449.jpg
Vegeta,"Race: Saiyan
Birth date: 732 Age
Height: 5' 5""
Weight: 126 lbs
Hobby: Training
Favorite food: All types of food
Favorite vehicle: Space pod
Known family: King Vegeta (father), Tarble (brother), Bulma (wife), Trunks (son), Bra [Bulla] (daughter)",https://cdn.myanimelist.net/images/characters/14/86185.jpg
Shouyou Hinata,"Team: Karasuno High, Yukigaoka Junior High (former)
Age: 16
Birthday: June 21
Height: 162.8 cm
Weight: 51.9 kg
Year: 1st Year, class 1
Number: 10
Position: Middle Blocker
Favorite Food: Tamago kake gohan (a meal composed of a raw egg mixed with white rice, often seasoned with soy sauce)
Current Concerns: Being unable to hold the ball in one hand
Ability Parameters (out of 5): Power = 1; jump = 5; stamina = 5; intellect = 1; technique = 1; speed = 5",https://cdn.myanimelist.net/images/characters/11/243919.jpg
Rimuru Tempest,Race: Human (past life) → Slime → Demon Slime ,https://cdn.myanimelist.net/images/characters/12/437304.jpg
Law Trafalgar, 24; 26,https://cdn.myanimelist.net/images/characters/10/258757.jpg
Karma Akabane,"Age: 14-15
Birthday: December 25
Height: 175 cm
Blood type: AB
Abilities: assassination, academics
Favorite subject: mathematics
Least favorite subject: Japanese
Favorite food: his own cooking
Hobby: provocation, mischief and harassment 
Class seat number: 1",https://cdn.myanimelist.net/images/characters/4/274913.jpg
Johan Liebert,"Johan Liebert is the namesake ""monster"" of the story and the mystery of his past is the focus of the plot. He has been called a monster, the next Adolf Hitler and even the devil himself. Johan Liebert was shot in the head at a young age but saved from death by Dr. Tenma. Because of this, he is very grateful to Dr. Tenma. He has spent portions of his life in different places under different aliases and possesses an extraordinary level of charisma and intelligence. He uses his gifts to cruelly manipulate and corrupt others, often with no apparent end other than to cause suffering and destruction. His original goal, as he stated when he was young, is to be the last one standing at the end of the world, although towards the end he decides upon a different fate. One of the themes of Monster is how individuals are capable of transforming into monsters; Johan often acts as both a direct and indirect catalyst for this transformation. Johan also shows strong attachment to his twin sister, Nina Fortner/Anna Liebert and refuses to leave her behind.",https://cdn.myanimelist.net/images/characters/4/316522.jpg
Kiritsugu Emiya,"Birthday: November 11, 1965
Height: 175 cm
Weight: 67 kg
Blood type: AB
Servant: Saber
Classifications: human, magus, master
Likes: efficiency
Spouse: ",https://cdn.myanimelist.net/images/characters/11/306553.jpg
Subaru Natsuki,"Age: 17→18
Birthday: April 1
Height: 173 cm (5'8"")",https://cdn.myanimelist.net/images/characters/15/315153.jpg
Hange Zo%C3%AB,"Age: Unknown
Gender: Ambiguous 
Birthday: September 5
Height: 170 cm (5'7"")
Weight: 60 kg (132 lbs)
Affiliations: Scouting Legion",https://cdn.myanimelist.net/images/characters/15/208637.jpg
Shikamaru Nara,: 12 (I); 15 (II),https://cdn.myanimelist.net/images/characters/3/131315.jpg
